,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,MIN1,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,DATE
79,201627.0,Anthony Morrow,1610612760.0,OKC,1.0,1.0,0.0,21.63,21.63,7867.0,1.49,0.81,0.68,4.13,4.44,3.81,10/28/2015
80,201229.0,Anthony Tolliver,1610612765.0,DET,1.0,1.0,0.0,19.17,19.17,7234.0,1.37,0.79,0.58,4.39,4.76,3.93,10/28/2015
81,203462.0,Archie Goodwin,1610612756.0,PHX,1.0,0.0,1.0,17.4,17.4,6494.0,1.23,0.65,0.58,4.1,5.28,3.83,10/28/2015
82,203382.0,Aron Baynes,1610612765.0,DET,1.0,1.0,0.0,11.88,11.88,4277.0,0.81,0.49,0.32,4.05,4.49,3.47,10/28/2015
83,203085.0,Austin Rivers,1610612746.0,LAC,1.0,1.0,0.0,16.12,16.12,6336.0,1.2,0.59,0.61,4.5,4.88,4.13,10/28/2015
84,202340.0,Avery Bradley,1610612738.0,BOS,1.0,1.0,0.0,32.6,32.6,12144.0,2.3,1.06,1.24,4.2,4.57,3.87,10/28/2015
85,203463.0,Ben McLemore,1610612758.0,SAC,1.0,0.0,1.0,20.07,20.07,8237.0,1.56,0.85,0.71,4.82,5.4,4.14,10/28/2015
86,2757.0,Beno Udrih,1610612748.0,MIA,1.0,0.0,1.0,14.73,14.73,6019.0,1.14,0.65,0.49,4.44,5.49,4.18,10/28/2015
87,202687.0,Bismack Biyombo,1610612761.0,TOR,1.0,1.0,0.0,15.72,15.72,5755.0,1.09,0.53,0.56,4.24,4.06,4.39,10/28/2015
88,201933.0,Blake Griffin,1610612746.0,LAC,1.0,1.0,0.0,38.25,38.25,12672.0,2.4,1.29,1.11,3.9,4.33,3.57,10/28/2015
89,202711.0,Bojan Bogdanovic,1610612751.0,BKN,1.0,0.0,1.0,28.73,28.73,10666.0,2.02,1.05,0.97,4.16,4.92,3.92,10/28/2015
90,2564.0,Boris Diaw,1610612759.0,SAS,1.0,0.0,1.0,20.13,20.13,7814.0,1.48,0.83,0.65,4.46,4.72,4.2,10/28/2015
91,203078.0,Bradley Beal,1610612764.0,WAS,1.0,1.0,0.0,37.6,37.6,15365.0,2.91,1.46,1.45,4.58,5.14,4.45,10/28/2015
92,201148.0,Brandan Wright,1610612763.0,MEM,1.0,0.0,1.0,16.68,16.68,5861.0,1.11,0.59,0.52,3.96,4.27,3.56,10/28/2015
